City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Huarmey,PE,74.43,scattered clouds,-10.0681,-78.1522,Hotel Miramar
562,Morondava,MG,81.99,overcast clouds,-20.2833,44.2833,La Case Bambou
563,Uchiza,PE,79.57,broken clouds,-8.4592,-76.4633,Hotel San Pedro
564,Bani Walid,LY,61.36,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
566,Wanning,CN,65.98,overcast clouds,18.8003,110.3967,Paradise Hotel
567,Tototlan,MX,78.8,clear sky,20.55,-102.8,Los Batitos
568,Myitkyina,MM,55.99,clear sky,25.3833,97.4,Shwe Phyu Hotel
569,Tolu,CO,83.01,overcast clouds,9.5239,-75.5814,Hotel Montecarlo
571,Daru,PG,77.59,heavy intensity rain,-9.0763,143.2092,Daru Lodge
572,Rio Grande,BR,80.01,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
573,Amapa,BR,74.79,light rain,1.0,-52.0,
575,Vao,NC,75.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
578,Zwedru,LR,74.93,broken clouds,6.0667,-8.1281,Elijah Worjloh
579,Caramay,PH,76.93,overcast clouds,10.1815,119.236,Peace and Love Beach Club
580,San Nicolas,PH,62.6,few clouds,18.1725,120.5953,NORTHVIEW Hotel
581,Kasongo-Lunda,CD,70.83,light rain,-6.4667,16.8167,
583,Peniche,PT,57.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
584,Buritama,BR,76.87,overcast clouds,-21.0661,-50.1472,Rancho Do Presidente - Buritama - SP
585,Mae Sot,TH,68.34,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
586,Tezu,IN,57.7,few clouds,27.9167,96.1667,Circuit House
587,Lodwar,KE,82.22,clear sky,3.1191,35.5973,Turkwel Lodge
589,Tutoia,BR,84.2,broken clouds,-2.7619,-42.2744,Pousada Guará's
593,Vila Franca Do Campo,PT,59.0,few clouds,37.7167,-25.4333,Pestana Bahia Praia
595,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
