City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Current Description
252,Calamar,CO,10.2511,-74.9146,80.6,74,11.5,clear sky
253,Techiman,GH,7.5862,-1.9414,78.85,61,6.96,overcast clouds
254,Turbat,PK,26.0023,63.044,54.23,42,0.47,clear sky
255,Ramgarh,IN,23.6333,85.5167,50.27,53,5.61,clear sky
256,Yerbogachen,RU,61.2767,108.0108,-44.25,78,5.5,scattered clouds
257,Madras,IN,13.0878,80.2785,75.2,88,8.1,mist
258,Lavrentiya,RU,65.5833,-171.0,-15.72,82,12.93,clear sky
259,Tromso,NO,69.6496,18.957,12.2,67,4.61,clear sky
260,Kotaparh,IN,19.15,82.35,62.06,75,1.95,broken clouds
261,Waingapu,ID,-9.6567,120.2641,78.49,82,13.4,overcast clouds
262,Christchurch,NZ,-43.5333,172.6333,63.0,63,9.22,overcast clouds
263,Mayo,US,38.8876,-76.5119,32.0,43,11.5,broken clouds
264,Tilichiki,RU,60.4667,166.1,-6.63,93,10.74,overcast clouds
265,Contamana,PE,-7.3333,-75.0167,89.51,51,7.34,broken clouds
266,Sisimiut,GL,66.9395,-53.6735,9.61,74,9.37,clear sky
267,Marigot,MF,18.0667,-63.0833,78.8,78,5.75,few clouds
268,Mabaruma,GY,8.2,-59.7833,75.81,84,4.07,overcast clouds
269,Sesheke,ZM,-17.4759,24.2968,69.33,93,3.38,light rain
270,Ibotirama,BR,-12.1853,-43.2206,83.03,42,1.34,broken clouds
271,Chor,PK,25.5167,69.7667,50.49,35,1.92,clear sky
272,Burnie,AU,-41.0667,145.9167,62.01,90,4.0,overcast clouds
273,Coihaique,CL,-45.5752,-72.0662,60.8,41,9.22,few clouds
274,Strezhevoy,RU,60.7333,77.5889,-36.4,74,2.24,clear sky
275,Hami,CN,42.8,93.45,19.08,85,2.13,clear sky
276,Ushtobe,KZ,45.2514,77.9838,13.84,88,8.19,clear sky
277,Snezhnogorsk,RU,69.1933,33.2531,5.0,92,2.24,light snow
278,Nome,US,64.5011,-165.4064,1.4,60,8.05,clear sky
279,Pemba,MZ,-12.974,40.5178,80.6,83,8.05,broken clouds
280,Bathsheba,BB,13.2167,-59.5167,77.0,78,13.8,scattered clouds
281,Bintulu,MY,3.1667,113.0333,77.0,94,4.41,scattered clouds
282,Ola,RU,59.5833,151.2833,-17.7,80,11.65,few clouds
283,Ostrovnoy,RU,68.0531,39.5131,8.06,94,18.72,overcast clouds
284,College,US,64.8569,-147.8028,6.01,71,3.44,broken clouds
